title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
Tendre et perverse Emanuelle,1973,75,NA,3.9,36,14.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
Jimi Plays Berkeley,1971,55,NA,7.2,26,0,0,4.5,0,4.5,14.5,14.5,14.5,14.5,34.5,,0,0,0,0,1,0,0
Waiting for Fidel,1974,58,NA,6.3,25,4.5,0,0,0,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,0,1,0,0
Dead People,1973,90,NA,6,98,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
Defining Edward,2003,93,NA,7.1,7,14.5,0,14.5,0,0,0,0,14.5,24.5,24.5,,0,0,0,1,0,0,0
Beach Red,1967,105,NA,6.1,144,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Shopworn,1932,72,NA,5.2,8,0,0,0,24.5,14.5,34.5,24.5,0,0,0,,0,0,0,1,0,1,0
"Day at the Races, A",1937,105,NA,7.5,2448,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
Allegoria,1979,12,NA,5.6,6,0,0,0,14.5,0,0,84.5,0,0,0,,0,0,0,0,0,0,1
Looking for Mr. Goodbar,1977,135,NA,6.1,1235,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
"Night Digger, The",1971,110,NA,6,69,0,0,4.5,14.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,0,0,0,0
Our Modern Maidens,1929,76,NA,6,83,4.5,0,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,,0,0,1,1,0,0,0
"Act of Seeing with One's Own Eyes, The",1971,32,NA,6.9,93,4.5,4.5,4.5,0,4.5,14.5,4.5,14.5,24.5,24.5,,0,0,0,0,1,0,1
"Bitch Is Back, The",1995,16,NA,4.4,40,14.5,14.5,4.5,14.5,4.5,4.5,4.5,14.5,4.5,24.5,,0,0,1,0,0,0,1
Paradise Alley,1978,107,NA,4.8,401,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
Scalpers,2000,84,NA,5.1,28,14.5,4.5,0,4.5,34.5,4.5,4.5,14.5,14.5,14.5,,0,0,1,0,0,0,0
Two Family House,2000,109,NA,7.2,417,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0
"Sleep of Death, The",1981,90,NA,4.2,8,0,0,64.5,0,0,0,14.5,14.5,0,14.5,,0,0,0,0,0,0,0
Kita no zeronen,2005,170,NA,6.9,7,0,0,0,14.5,0,14.5,24.5,24.5,0,14.5,,0,0,0,1,0,0,0
Bone Daddy,1998,90,NA,5.3,371,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
"Film Fan, The",1939,7,NA,6.2,14,0,0,0,0,24.5,4.5,24.5,24.5,4.5,14.5,,0,1,1,0,0,0,1
Mary Jane's Mishap,1903,4,NA,6.9,48,4.5,0,0,4.5,4.5,14.5,24.5,34.5,14.5,4.5,,0,0,1,0,0,0,1
Bruce's Fingers,1980,91,NA,5.4,15,0,14.5,0,24.5,0,24.5,14.5,0,4.5,24.5,,1,0,0,0,0,0,0
Curse of the Queerwolf,1988,90,10000,3.5,55,24.5,4.5,0,4.5,4.5,4.5,14.5,4.5,4.5,24.5,,0,0,1,0,0,0,0
Tumultes,1990,91,NA,7,7,0,0,0,24.5,14.5,0,24.5,0,14.5,14.5,,0,0,0,0,0,0,0
World of the Drunken Master,1979,98,NA,4.5,31,0,14.5,4.5,0,14.5,4.5,14.5,14.5,4.5,24.5,,1,0,0,0,0,0,0
Treevil,2003,7,NA,7,11,0,0,0,0,4.5,0,24.5,4.5,4.5,44.5,,0,1,0,0,0,0,1
Sweepings,1933,80,NA,6.6,25,0,4.5,0,4.5,4.5,24.5,14.5,44.5,4.5,4.5,,0,0,0,1,0,0,0
"Spaceman and King Arthur, The",1979,93,NA,4.5,161,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Voruntersuchung,1931,95,NA,6.2,10,0,14.5,0,14.5,0,34.5,24.5,14.5,24.5,0,,0,0,0,0,0,0,0
As Cute as They Cum,1990,75,NA,8.4,6,0,0,0,0,14.5,0,0,0,14.5,64.5,,0,0,0,0,0,0,0
Varsity Blues,1999,100,16000000,6,7974,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0
Papillon d'amour,2003,3,NA,8.5,22,4.5,0,0,24.5,0,4.5,14.5,4.5,24.5,14.5,,0,0,0,0,0,0,1
"Fearmakers, The",1958,85,NA,5.3,47,0,4.5,4.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Ljeto u zlatnoj dolini,2003,105,NA,8,134,4.5,0,4.5,4.5,4.5,4.5,24.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
"Lodger, The",1932,67,NA,5.8,20,0,4.5,4.5,14.5,24.5,24.5,14.5,4.5,0,14.5,,0,0,0,0,0,0,0
Stranger's Meeting,1957,64,NA,4,6,14.5,0,0,64.5,0,14.5,0,0,0,0,,0,0,0,0,0,0,0
Pyshka,1934,70,NA,7.5,8,0,0,0,0,0,0,34.5,14.5,0,45.5,,0,0,0,0,0,0,0
Thelma & Louise,1991,129,16500000,7.3,18075,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,1,0,0,1,0,0,0
Attack of the Giant Leeches,1959,62,70000,2.8,426,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
"Show of Force, A",1990,95,NA,5.1,157,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
Before the Nickelodeon: The Cinema of Edwin S. Porter,1982,60,NA,6,16,0,0,0,14.5,14.5,14.5,4.5,14.5,4.5,24.5,,0,0,0,0,1,0,0
Dokuz,2002,91,NA,8.7,70,4.5,4.5,0,0,4.5,4.5,4.5,14.5,24.5,45.5,,0,0,0,1,0,0,0
"Abuelo, El",1998,147,NA,7.7,423,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,PG,0,0,0,1,0,0,0
Ludovic II: un crocodile dans mon jardin,1999,10,NA,6.8,9,0,0,0,0,14.5,24.5,45.5,0,0,14.5,,0,1,0,0,0,0,1
Pleure pas la bouche pleine,1973,116,NA,4.8,40,14.5,14.5,0,0,4.5,14.5,4.5,14.5,4.5,24.5,,0,0,1,0,0,1,0
Empire of Ash III,1989,98,NA,3.4,13,24.5,0,4.5,4.5,4.5,4.5,0,0,24.5,24.5,,1,0,0,0,0,0,0
"Albatros, L'",1971,92,NA,6.2,11,4.5,0,4.5,4.5,14.5,0,24.5,14.5,0,4.5,,0,0,0,0,0,0,0
Desert Victory,1943,60,NA,7.8,32,0,4.5,0,4.5,4.5,14.5,24.5,14.5,24.5,14.5,,0,0,0,0,1,0,0
Duel,1969,1,NA,8,6,0,0,0,0,0,0,14.5,64.5,14.5,0,,0,0,0,0,1,0,1
Maa,2001,120,NA,6,8,0,34.5,0,0,24.5,14.5,14.5,0,14.5,0,,0,0,0,0,1,0,0
I'm All Right Jack,1959,105,NA,7.5,441,4.5,0,0,4.5,4.5,14.5,14.5,24.5,14.5,24.5,,0,0,1,0,0,0,0
"Ten Commandments Number 7: Thou Shalt Not Steal, The",1994,5,NA,7.5,6,0,0,0,0,14.5,14.5,0,64.5,0,0,,0,1,1,0,0,0,1
2000 Years Later,1969,80,NA,4.4,12,4.5,14.5,0,0,24.5,14.5,14.5,0,0,14.5,,0,0,1,0,0,0,0
Company Man,2000,86,16000000,4.8,492,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0
Nan bei Shao Lin,1986,99,NA,6.1,170,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,14.5,,1,0,0,0,0,0,0
Virtual Encounters,1996,84,NA,3.2,57,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
"Cielito, El",2004,93,NA,7,32,4.5,0,4.5,4.5,4.5,14.5,4.5,34.5,14.5,14.5,,0,0,0,1,0,0,0
Inagaw mo ang lahat sa akin,1995,103,NA,5.6,15,4.5,0,4.5,0,14.5,4.5,0,0,34.5,34.5,,0,0,0,1,0,0,0
Baldwin's Nigger,1968,46,NA,5.6,15,14.5,0,0,0,4.5,0,0,0,0,84.5,,0,0,0,0,1,0,0
Posledniy poezd,2003,82,NA,6.5,28,4.5,4.5,4.5,14.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
"Lewis Mumford on the City, Part 3: The City and Its Region",1963,28,NA,9,8,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,1,0,1
Gutter Balls,2003,29,4000,8.3,7,14.5,0,0,0,0,0,14.5,0,0,74.5,,0,0,1,0,0,0,1
"Remarkable Mr. Pennypacker, The",1959,87,NA,6.4,51,0,4.5,4.5,4.5,14.5,4.5,14.5,14.5,4.5,24.5,,0,0,1,0,0,0,0
Bad Channels,1992,88,NA,3.4,119,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
Faraon,1966,118,NA,7,124,4.5,0,4.5,4.5,4.5,14.5,14.5,14.5,14.5,34.5,,0,0,0,1,0,0,0
Morgan il pirata,1961,93,NA,5,36,0,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
Chen Mo he Meiting,2002,78,NA,6.4,28,0,0,4.5,0,14.5,14.5,24.5,24.5,4.5,14.5,,0,0,0,1,0,0,0
Prince of Central Park,2000,109,NA,4.9,145,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,PG-13,1,0,0,1,0,0,0
Doctor Detroit,1983,89,NA,4.4,1233,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
No Maps for These Territories,2000,89,NA,6.8,69,4.5,0,0,4.5,4.5,24.5,24.5,14.5,14.5,14.5,,0,0,0,0,1,0,0
Dinner Rush,2000,99,NA,7.3,1231,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,R,0,0,0,1,0,0,0
Wilczyca,1983,98,NA,5.5,8,14.5,0,0,14.5,0,14.5,14.5,0,14.5,34.5,,0,0,0,0,0,0,0
Perfect Pie,2002,92,NA,6.6,57,14.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Undercurrent,1999,94,NA,4.5,54,4.5,4.5,4.5,14.5,14.5,4.5,24.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
Lorna,1964,78,60000,4.9,138,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Earthbound,1940,67,NA,4.8,16,4.5,0,0,34.5,4.5,14.5,4.5,14.5,0,24.5,,0,0,0,0,0,0,0
"Comte de Monte Cristo, Le",1961,132,NA,7.2,35,4.5,0,0,0,4.5,24.5,34.5,34.5,4.5,4.5,,1,0,0,1,0,0,0
White Mischief,1987,107,5300000,6,568,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,1,0
Funny Girl,1968,155,14100000,7,1782,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,1,1,0,1,0
Late Summer,2001,28,NA,8.1,8,0,0,0,0,0,0,14.5,45.5,0,34.5,,0,0,0,1,0,0,1
Blue Skies,1946,104,3000000,6.3,160,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,1,0
"Walking Dead, The",1936,66,217000,6.7,157,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,4.5,14.5,,0,0,0,0,0,0,0
Wide Open Town,1941,79,NA,7.1,17,0,0,0,0,4.5,14.5,24.5,14.5,14.5,24.5,,1,0,0,0,0,0,0
"Lost Patrol, The",1934,66,254000,7.4,276,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,14.5,,0,0,0,0,0,0,0
Demented,1980,92,NA,2.3,37,44.5,14.5,14.5,0,0,4.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Logan's Run: A Look Into the 23rd Century,1976,9,NA,6.2,42,0,0,4.5,4.5,14.5,14.5,4.5,24.5,4.5,14.5,,0,0,0,0,1,0,1
Crackerjack 2,1996,96,NA,2.7,69,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0
Dot and the Whale,1986,75,NA,4.6,14,4.5,0,4.5,4.5,14.5,0,14.5,4.5,4.5,34.5,,0,1,0,0,0,0,0
De l'amour,1964,90,NA,5.4,8,0,0,0,24.5,24.5,0,34.5,14.5,0,0,,0,0,1,0,0,0,0
Book of Love,2002,91,NA,8,17,4.5,0,4.5,0,0,0,14.5,24.5,24.5,14.5,,0,0,1,0,0,1,0
Overture to The Merry Wives of Windsor,1953,9,NA,5.5,18,14.5,0,4.5,0,24.5,34.5,4.5,14.5,4.5,0,,0,0,0,0,0,0,1
Shudojo: nure nawa zange,1979,74,NA,5.8,10,0,0,14.5,0,14.5,44.5,34.5,0,14.5,0,,0,0,0,0,0,0,0
Kansas,1998,6,NA,5.6,10,0,14.5,14.5,14.5,0,0,44.5,14.5,14.5,14.5,,0,0,0,1,0,0,1
"American Waitress, New Mexico",2002,66,NA,8,5,0,0,0,0,0,44.5,24.5,24.5,24.5,0,,0,0,0,0,1,0,0
Mach 2,2001,91,NA,3.4,70,24.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
Bony a Klid,1987,90,NA,6.2,24,4.5,0,0,4.5,14.5,4.5,24.5,14.5,24.5,4.5,,0,0,0,1,0,0,0
Bad Boys II,2003,145,130000000,6.1,13087,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,R,1,0,1,0,0,0,0
"Haunting of Morella, The",1990,82,NA,3.9,119,14.5,14.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
"Loba, La",1965,85,NA,3.7,8,0,14.5,14.5,0,0,14.5,0,45.5,0,14.5,,0,0,0,0,0,0,0
Karnaval,1999,88,NA,6.9,142,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
Birdman of Alcatraz,1962,147,NA,7.6,2179,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
Kuchizuke,1957,74,NA,8.1,8,0,0,0,14.5,0,0,14.5,24.5,34.5,14.5,,0,0,0,1,0,1,0
Hui ba! Ja 'fit' yan bing tuen,1996,92,NA,6.9,10,0,0,0,0,14.5,24.5,34.5,24.5,14.5,14.5,,1,0,1,0,0,0,0
Dragons Never Die,1986,79,NA,3.4,5,44.5,0,24.5,0,24.5,0,24.5,0,0,0,,0,0,0,0,0,0,0
Guardian,2000,92,NA,3.6,142,14.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
"Mask, The",1994,97,18000000,6.4,21533,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,1,0,1,0,0,0,0
Kleine Kreise,2001,85,NA,6.3,6,0,0,0,0,0,14.5,14.5,14.5,34.5,14.5,,0,0,1,1,0,0,0
"Bronze Screen: 100 Years of the Latino Image in American Cinema, The",2002,90,NA,7.5,11,0,0,0,0,4.5,14.5,34.5,0,0,34.5,,0,0,0,0,1,0,0
Goldfinger,1964,112,3000000,7.8,19754,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,1,0,0,0,0,0,0
"Eneste ene 2, Den",2002,13,NA,6.4,14,24.5,4.5,14.5,0,0,0,0,0,4.5,45.5,,0,0,1,0,0,1,1
Loverboy,1989,98,NA,5.2,815,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Gekitotsu! Satsujin ken,1974,91,NA,6.7,529,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,1,0,0,0,0,0,0
Chia e tazi pesen?,2003,70,NA,7,18,0,14.5,0,0,24.5,14.5,14.5,14.5,14.5,24.5,,0,0,0,0,1,0,0
"Poulpe, Le",1998,100,NA,6.5,155,4.5,4.5,4.5,4.5,14.5,14.5,24.5,24.5,14.5,4.5,,0,0,1,0,0,0,0
69 - Sixtynine,1969,98,NA,5.8,5,0,24.5,0,0,0,44.5,24.5,24.5,0,0,,0,0,0,1,0,0,0
Let It Come Down: The Life of Paul Bowles,1998,75,NA,7.4,27,4.5,0,0,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,0,1,0,0
Little White Lies,1996,100,NA,5,31,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,0,4.5,,0,0,0,0,0,0,0
"Altra vita, Un'",1992,95,NA,7.3,17,0,0,0,0,0,14.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
"Classe de neige, La",1998,96,NA,7.1,344,4.5,4.5,0,4.5,4.5,14.5,14.5,34.5,14.5,14.5,,0,0,0,1,0,0,0
How to Eat,1939,9,NA,7.4,8,0,0,0,0,0,14.5,34.5,24.5,14.5,14.5,,0,0,1,0,0,0,1
Nice Dreams,1981,88,NA,5.5,1124,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
Come inguaiammo l'esercito,1965,89,NA,6.1,6,14.5,0,0,0,34.5,0,14.5,14.5,0,14.5,,0,0,1,0,0,0,0
Autobahnraser,2004,87,NA,3.8,255,14.5,14.5,14.5,4.5,4.5,14.5,4.5,4.5,4.5,14.5,,1,0,1,0,0,0,0
Hochelaga,2000,130,NA,7,170,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,14.5,,0,0,0,1,0,0,0
"Midnight Snack, The",1941,9,NA,6.9,41,0,0,0,4.5,4.5,4.5,14.5,34.5,4.5,14.5,,0,1,1,0,0,0,1
Easy Road,1978,94,NA,4.3,15,4.5,0,4.5,0,24.5,24.5,4.5,0,24.5,14.5,,0,0,0,0,0,0,0
Deadly Sins,1995,98,NA,4.1,173,4.5,4.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,24.5,R,0,0,0,1,0,0,0
Virgin Witch,1972,88,NA,4.3,44,14.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
Eyes of the Navy,1940,20,NA,5.3,15,4.5,4.5,4.5,0,24.5,24.5,4.5,14.5,0,14.5,,0,0,0,0,1,0,1
Kind der Donau,1950,78,NA,5.3,8,24.5,0,0,14.5,0,34.5,24.5,0,0,0,,0,0,0,0,0,0,0
Tarzan and the Jungle Boy,1968,99,NA,5.2,51,4.5,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,0,0,0,0
"Kiss Me, Stupid",1964,125,3500000,7,712,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
Page 73,1996,40,NA,8.2,6,0,0,14.5,0,0,0,0,14.5,34.5,34.5,,0,0,0,0,0,0,1
"House Across the Lake, The",1954,68,NA,4.8,7,0,0,0,14.5,0,24.5,14.5,24.5,0,14.5,,0,0,0,1,0,0,0
Journey Into Fear,1975,100,NA,5.5,33,4.5,0,4.5,4.5,44.5,14.5,4.5,4.5,0,14.5,,0,0,0,0,0,0,0
Cuarteles de invierno,1984,115,NA,4.8,5,0,0,0,44.5,0,0,24.5,24.5,24.5,0,,0,0,0,1,0,0,0
"Je t'aime, je t'adore",2003,95,NA,6.1,6,0,0,14.5,0,0,34.5,34.5,14.5,0,0,,0,0,0,0,0,0,0
"Girl From Tobacco Row, The",1966,87,NA,3.7,12,14.5,4.5,14.5,0,4.5,4.5,0,4.5,14.5,14.5,,0,0,1,0,0,0,0
Take Down,1979,107,NA,5.6,47,4.5,4.5,4.5,4.5,4.5,24.5,4.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Page Miss Glory,1935,75,NA,6.3,56,0,0,0,4.5,14.5,34.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
American Desi,2001,100,250000,6.8,291,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,1,1,0,1,0
Everybody Just Stay Calm,1994,60,NA,5.8,11,0,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,,0,0,1,0,1,0,0
Organ Grinder's Swing,1937,6,NA,5.6,14,14.5,0,4.5,14.5,0,4.5,24.5,24.5,0,14.5,,0,1,1,0,0,0,1
"Three Musketeers, The",1993,105,NA,6,6624,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,1,0,1,0,0,1,0
"Oh, for a Man",1930,78,NA,3.1,5,0,24.5,24.5,0,24.5,0,0,24.5,0,24.5,,0,0,0,0,0,1,0
Cuarteto para el fin del tiempo,1983,27,NA,4.4,6,0,14.5,0,14.5,0,14.5,14.5,0,14.5,14.5,,0,0,0,1,0,0,1
Murdered Innocence,1995,80,NA,5.4,20,0,14.5,0,4.5,14.5,24.5,14.5,14.5,0,24.5,R,0,0,0,0,0,0,0
"Matrimaniac, The",1916,46,NA,6.6,10,0,0,0,0,24.5,34.5,14.5,24.5,14.5,14.5,,0,0,1,0,0,1,0
Pembalasan ratu pantai selatan,1988,82,NA,5.2,84,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,,1,0,0,0,0,0,0
Keep Breathing,2000,95,NA,5.1,9,14.5,0,0,24.5,14.5,14.5,14.5,0,0,34.5,,0,0,0,1,0,0,0
"Golden Equator, The",1956,18,NA,5.3,10,0,0,0,0,64.5,14.5,24.5,14.5,0,0,,0,0,0,0,1,0,1
Barricade,1950,77,NA,5.4,15,0,0,14.5,4.5,44.5,24.5,0,4.5,4.5,0,,0,0,0,0,0,0,0
Girl Shy,1924,80,NA,7.9,246,4.5,4.5,0,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,1,0,1,0,0,1,0
Pickup,1951,78,NA,6.1,16,4.5,0,0,0,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Hoax Call,2000,1,NA,4.5,10,14.5,14.5,0,0,24.5,14.5,34.5,0,14.5,14.5,,0,0,0,0,0,0,1
She's Too Tall,1998,90,NA,5.4,28,14.5,14.5,4.5,4.5,4.5,0,14.5,4.5,4.5,34.5,,0,0,1,0,0,0,0
Living Life,2004,88,150000,3.5,30,4.5,4.5,14.5,4.5,4.5,0,4.5,4.5,14.5,44.5,,0,0,0,1,0,0,0
"Animal, The",2001,84,22000000,4.8,5605,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0
Onegin,1999,106,14000000,6.3,1327,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,R,0,0,0,1,0,1,0
Waga jinsei saiaku no toki,1994,92,NA,6.8,82,4.5,0,4.5,4.5,4.5,4.5,14.5,14.5,24.5,24.5,,0,0,0,1,0,0,0
